ID,Author,DateTimeStamp,Body,Thread,PostsInThread
44279,Brian Vogel,2018-07-26 23:37:39.595704100,"Hello All,          What follows is a duplicate of a post I just made on the JAWS for Windows group.  I am posting here not because I expect any answers with regard to JAWS but because I also described what I'm seeing with NVDA that has me confused as well.  I do not understand how what presents as a link doesn't show up in the links elements list but does in both form fields and buttons, when it is neither and I wouldn't think it could be both a form field and a button.  I am also not seeing the Disability Support link (or something similar to that, I don't have JAWS handy to pull up the exact name of the link) that I am positive I did see under JAWS.  I thought about activating that link and reporting that a full duplication of the same information given as the click-through text for an item's link in the alternate text for its image is overkill and makes matters worse, not better, in the context of the cart.-------------------------------Hello All,        During a session today I encountered something I've never encountered before with JAWS:  An inaccessible link that's clearly visible to me.   In addition I could not find a workaround that allowed for what I consider a reasonable way to hear the list of what's in your cart.         I would have expected that the item links that show up in the cart would have been implemented as headings, much like the item links are all headings at level 2 on the search results page.  They don't show up in the headings list, though.  The closest I can get to the items list is to go to the Shopping Cart heading and start reading from there.  For each item in the cart there exists a ""Delete"" link which allows you to do exactly what it says.  Almost anyone has occasional need or desire to nuke an item or items from their cart, but I can find absolutely no way to access these Delete links for each item.  They do not show up even in the list of links for the page.  In playing with this same page with NVDA the results are the same when I look at either a list of the headings or links.  What's interesting though is if I change the element being looked at to ""Form Fields"" these delete links show up in that list.  If these things are form fields then they're the best disguised form fields I've ever seen.  They are visually presented as links and I'd expect they'd be in a list of links, not form fields.  They also show up in NVDA's list of Buttons, and they certainly are not presented as buttons.  I've done the NVDA experimentation this evening, at my leisure, so I had no idea about this when I first encountered it.  It still seems utterly bizarre.         What, if anything, am I doing wrong here?         It's also interesting to see how Amazon went overboard with alternate text for item images.  When you get JAWS to begin reading the cart in its long and meandering way the full item name is always presented twice since the alternate text for the item image is a word for word copy of the click-through text used for the item link itself.  It makes the whole process of even trying to review one's cart incredibly tedious.  I notice that when JAWS is being used there is a link that shows up for Disability Support (or a very similar phrase) and I can't seem to find that using NVDA, but I could also be on a different version of the cart page than I was looking at earlier today.          If anyone knows ""the collection of slick tricks"" for efficiently interacting with the Amazon Cart page I'd love to hear them.--------------------------------- 
Brian - Windows 10 Home, 64-Bit, Version 1803, Build 17134  
    A little kindness from person to person is better than a vast love for all humankind.
           ~ Richard Dehmel","Amazon.com ""Cart"" page with JAWS & NVDA",31
44283,ely.r@...,2018-07-27 01:44:47.772888447,"Brian,I am running NVDA with no addons and Firefox 6.0.1.  I went to the heading titled Shopping Cart and tabbed through my cart that had only one item. First tab was the image with the alt-tag of the title of the gook. Next tab took me to the link to the item page on Amazon. Next was to the name of the publisher which was a link. , This was followed by gift options not available followed by the text “learn more” which was a link.” Next two tabs were to buttons. first of these was labeled “Delete and the title of the gook.The second button was “save for later and the title of the book” Tabs following the active cart went to “saved for later. Writing that all out makes it sound confusing even to me who just wrote it. Basically using , Next heading will get you to the shopping cart and then tabs will move you through all the items and options in the cartRick","Amazon.com ""Cart"" page with JAWS & NVDA",31
44284,Brian Vogel,2018-07-27 03:05:00.536905882,"Rick,          Thanks.  I've figured some of this out but it is still insane.  Being sighted, it is making me crazy that there is a trend toward making objects look like other objects that they are not.   I cannot fathom why you would make a button visually appear as a link.  I've experienced the reverse, too.           It does no one any good on either side of the equation.  I hate telling a client something like ""bring up the list of links"" then use first letter navigation by 'D' to get to that Delete link that is not, in actuality, a link.  I came to the conclusion using the elements lists and cycling through the various elements.            I still find it strange that the Delete (which is accompanied by the full name of the item) button also shows up in the list of form fields.  Of course, when I see form field I think edit box, and perhaps that's my problem.  I don't think of ""form field"" as the generic term for ""object that can be interacted with on the page,"" and am starting to think that may be what it actually means.           It doesn't help when I'm trying to ""think JAWS"" and ""think NVDA"" in rapid succession, either, when it comes to terminology.-- 
Brian - Windows 10 Home, 64-Bit, Version 1803, Build 17134  
    A little kindness from person to person is better than a vast love for all humankind.
           ~ Richard Dehmel","Amazon.com ""Cart"" page with JAWS & NVDA",31
44285,Gene,2018-07-27 05:02:39.294766441,"This message is long but people may find it 
useful.  And it would be nice if those who teach enough to be known in the 
field, would advocate that teaching be changed as I describe.  

 
I have maintained for almost as long as I've known 
about these completely artificial, screen-reader created constructs, that they 
are not good to use on unfamiliar pages.  Now, you are giving excellent 
arguments why they shouldn't be used on familiar pages.  
 
In my strong opinion, people are much better off 
using the page as the page.  I realize it is the page as presented in the 
browse mode buffer, but it is the page as we generally work with it and it and 
it is not a completely artifically construct that goes outside of any unified 
page-as-structure gestault, to use a fancy word meaning picture or mental 
construction or framework.
 
It removes the user from the interface and makes 
him/her reliant on instructions on how to do this or that thing, as you 
illustrate in your example.  Just think how much more natural and directly 
working with the page, as presented, it is to tell the student, make sure you 
are at the top of the page, then search for the word cart.  Repeat the 
search if necessary until you get to the cart.  Then explain how to move 
through the cart.  I almost never use amazon so I don't recall the best 
ways.  And this is true on page after page.  What about a newspaper 
site where you want to find the editorial section on the home page.  
Instead of using the links list, search for edito.  Repeat if 
necessary.  
 
What about a radio station site?  If you want 
to listen, search for listen.  If you find nothing, search for the word 
live or the word click.  Using the links list and using first letter 
navigation to find the word listen won't do any good if the link says click here 
to listen live.  Nor will using first letter navigation help when looking 
for the word ""live.""  You have to find the word click with first letter 
navigation.  It makes much more sense to search for words like listen and 
live or click using my method.  You will find the link every time because 
all three words are in the link, just not necessarily in the limited and 
arbitrary way this completely artificial structure imposes on looking for 
them.  
 
What if you are on an unfamiliar site and all you 
want to do is get contact information or use a contact form.  From the top 
of the page, search for the word ""contact.""  Again, what if the link says 
click here to contact us.""  What if it says, to contact us, use this form, 
where ""this form"" is the link.  Best of luck finding it with the links 
list.  Using search, you will find the word contact and the link is in the 
sentence.  This also leads to 
micromemorization of pages.  Page x has something you switch to the 
headings list to find.  Site Y has something you look for using the buttons 
list.  It's not a natural way to work with web pages and you are reporting 
increasing dissatisfaction with how sites label structures that are not how they 
appear.
 
As I say from time to time, 
blind people shouldn't rely on the kindness of strangers when navigating web 
pages.  
 
I want to be very clear on the 
next point.  I am not aedvocating not using heading movement to skip 
navigation links on unfamiliar pages.  Nor am I saying that the skip blocks 
of links shoudn't be used.  Those uses move you past generally used 
patterns on a page to get to where you want.  I'm advocating against using 
the links list in examples such as I give above when you are on unfamiliar pages 
and want to find something more specific than the general beginning of text 
beyond a usually present structure such as navigation links.  And I'm 
advocating using search for finding something in the links list on unfamiliar 
pages where you cannot assume what the link says as the first word in the 
link.  I am also arguing that in teaching, using the links list removes the 
user from the structure of the page and should never be used or taught until the 
end of web page navigation instruction, if the instructor wants to teach 
it.  The mor3e the student works with the web page, the 
better.
 
The links list, this, what I 
consider, very improper way of teaching web page navigation has become 
unquestioned dogma.  I did a tutorial years ago on Internet use.  It 
is the only one I know that tells users, don't use the links list on unfamiliar 
pages.  If you want to use it on familiar pages, that's alright but I 
specifically tell them not to use the links list when using the tutorial even if 
they already are familiar with it.  
 
The other tutorials I've seen 
teach it near the beginning of teaching page navigation.  It's far past 
time someone with enough influence in the field that others will at least pay 
attention and think, make this case.
 
Gene
----- Original Message 
-----","Amazon.com ""Cart"" page with JAWS & NVDA",31
44286,John Isige,2018-07-27 07:34:39.092349247,"Agreed. I almost never use the lists, I can't remember when the lasttime was that I used one, though I probably did once. Let's see,headings, sometimes landmarks if I remember them, tab, and arrows, andpage-up or down if I know I'm skipping some fairly significant text, andfind from top of page as you've thoroughly described, naturally. That'spretty much how I navigate pages. Usually stuff like 'n' doesn't workfor me on pages, same with visited and unvisited links. That's undermultiple screen readers, mind you. So to my mind, you should at leastknow the commands if for no other reason than you'll know what to dowhen the ones you find to be easier don't work.I wouldn't go so far as to say use screen layout under NVDA, but justfor fun I'm trying it. What used to happen to me is that if you let itread the page automatically, it would read a line of links, but if youused the arrows, it would only read the first link, and that just messedwith my head. But at least in my quick Facebook test in latest Firefox,it actually read the whole set of links with the arrows, so now I'mgiving it a shot to see what it's like.","Amazon.com ""Cart"" page with JAWS & NVDA",31
44289,Brian's Mail list account,2018-07-27 08:28:57.946889086,"I guess its human nature for people to assume site builders will all follow a normal way of doing stuff. and its also human nature that people look for what they may think is the simplest way.I'm very surprised that no search  can detect words other than at the start of text though. This is certainly not so in other documents. I use this all the time when viewing local planning applications to search for key words that mean  red alert for blind people, like applications for chairs and other street clutter on narrow footways etc.Brianbglists@...Sent via blueyonder.Please address personal E-mail to:-briang1@..., putting 'Brian Gaff'in the display name field.","Amazon.com ""Cart"" page with JAWS & NVDA",31
44294,Gene,2018-07-27 10:43:54.621925219,"I didn't say no searches can find words except at 
the beginnings of text.  I said that, using the links list or the other 
lists, which are artificial constructions, that if you use first letter 
navigation to move through these artificial lists, you won't find something 
unless the first word in the item begins with that letter.  See my examples 
again such as click here to listen live.  The links list won't find the 
link if you use first letter navigation and you type l.
 
I argue against using the links list for that 
reason on unfamiliar pages.  I argue that the screen-reader's find should 
be used.
 
Gene","Amazon.com ""Cart"" page with JAWS & NVDA",31
44295,Ron Canazzi,2018-07-27 13:20:15.069552794,"Hi Gene,


You are largely correct on this analysis, but at times, I must
      confess, you have a way of stating what could be stated n a
      sentence or two in 10 thousand words. 



What you are saying in a nutshell is that you should always scope
      out unfamiliar web pages and then when you know what is going on
      on such pages, use your quick navigation, links lists and so on.


I do this all the time and it is more or less common sense.  For
      example, once you scope out a page and you know that the listen
      live link on a web page is near the top and the word here as in
      'click here' to listen' is the clickable word, then it is much
      easier to use the links list and when you press the letter h and
      hear the word here, to press enter on it to start listening.



On 7/27/2018 1:02 AM, Gene wrote:



This message is long but people may find it useful.  And it
        would be nice if those who teach enough to be known in the
        field, would advocate that teaching be changed as I describe.  
 
I have maintained for almost as long as I've known about
        these completely artificial, screen-reader created constructs,
        that they are not good to use on unfamiliar pages.  Now, you are
        giving excellent arguments why they shouldn't be used on
        familiar pages.  
 
In my strong opinion, people are much better off using the
        page as the page.  I realize it is the page as presented in the
        browse mode buffer, but it is the page as we generally work with
        it and it and it is not a completely artifically construct that
        goes outside of any unified page-as-structure gestault, to use a
        fancy word meaning picture or mental construction or framework.
 
It removes the user from the interface and makes him/her
        reliant on instructions on how to do this or that thing, as you
        illustrate in your example.  Just think how much more natural
        and directly working with the page, as presented, it is to tell
        the student, make sure you are at the top of the page, then
        search for the word cart.  Repeat the search if necessary until
        you get to the cart.  Then explain how to move through the
        cart.  I almost never use amazon so I don't recall the best
        ways.  And this is true on page after page.  What about a
        newspaper site where you want to find the editorial section on
        the home page.  Instead of using the links list, search for
        edito.  Repeat if necessary.  
 
What about a radio station site?  If you want to listen,
        search for listen.  If you find nothing, search for the word
        live or the word click.  Using the links list and using first
        letter navigation to find the word listen won't do any good if
        the link says click here to listen live.  Nor will using first
        letter navigation help when looking for the word ""live.""  You
        have to find the word click with first letter navigation.  It
        makes much more sense to search for words like listen and live
        or click using my method.  You will find the link every time
        because all three words are in the link, just not necessarily in
        the limited and arbitrary way this completely artificial
        structure imposes on looking for them.  
 
What if you are on an unfamiliar site and all you want to do
        is get contact information or use a contact form.  From the top
        of the page, search for the word ""contact.""  Again, what if the
        link says click here to contact us.""  What if it says, to
        contact us, use this form, where ""this form"" is the link.  Best
        of luck finding it with the links list.  Using search, you will
        find the word contact and the link is in the sentence.  This
        also leads to micromemorization of pages.  Page x has something
        you switch to the headings list to find.  Site Y has something
        you look for using the buttons list.  It's not a natural way to
        work with web pages and you are reporting increasing
        dissatisfaction with how sites label structures that are not how
        they appear.
 
As I say from time to time, blind people shouldn't rely on
        the kindness of strangers when navigating web pages.  
 
I want to be very clear on the next point.  I am not
        aedvocating not using heading movement to skip navigation links
        on unfamiliar pages.  Nor am I saying that the skip blocks of
        links shoudn't be used.  Those uses move you past generally used
        patterns on a page to get to where you want.  I'm advocating
        against using the links list in examples such as I give above
        when you are on unfamiliar pages and want to find something more
        specific than the general beginning of text beyond a usually
        present structure such as navigation links.  And I'm advocating
        using search for finding something in the links list on
        unfamiliar pages where you cannot assume what the link says as
        the first word in the link.  I am also arguing that in teaching,
        using the links list removes the user from the structure of the
        page and should never be used or taught until the end of web
        page navigation instruction, if the instructor wants to teach
        it.  The mor3e the student works with the web page, the better.
 
The links list, this, what I consider, very improper way of
        teaching web page navigation has become unquestioned dogma.  I
        did a tutorial years ago on Internet use.  It is the only one I
        know that tells users, don't use the links list on unfamiliar
        pages.  If you want to use it on familiar pages, that's alright
        but I specifically tell them not to use the links list when
        using the tutorial even if they already are familiar with it.  
 
The other tutorials I've seen teach it near the beginning of
        teaching page navigation.  It's far past time someone with
        enough influence in the field that others will at least pay
        attention and think, make this case.
 
Gene
----- Original Message -----


From: Brian
            Vogel 
Sent: Thursday, July 26, 2018 10:05 PM
To: nvda@nvda.groups.io

Subject: Re: [nvda] Amazon.com ""Cart"" page with JAWS
          & NVDA



      Rick,

                Thanks.  I've figured some of this out but it is still
      insane.  Being sighted, it is making me crazy that there is a
      trend toward making objects look like other objects that they are
      not.   I cannot fathom why you would make a button visually appear
      as a link.  I've experienced the reverse, too.

                 It does no one any good on either side of the
      equation.  I hate telling a client something like ""bring up the
      list of links"" then use first letter navigation by 'D' to get to
      that Delete link that is not, in actuality, a link.  I came to the
      conclusion using the elements lists and cycling through the
      various elements. 

                 I still find it strange that the Delete (which is
      accompanied by the full name of the item) button also shows up in
      the list of form fields.  Of course, when I see form field I think
      edit box, and perhaps that's my problem.  I don't think of ""form
      field"" as the generic term for ""object that can be interacted with
      on the page,"" and am starting to think that may be what it
      actually means.

                 It doesn't help when I'm trying to ""think JAWS"" and
      ""think NVDA"" in rapid succession, either, when it comes to
      terminology.
      -- 
Brian - Windows
          10 Home, 64-Bit, Version 1803, Build 17134  
    A little
            kindness from person to person is better than a vast love
            for all humankind.
           ~ Richard
          Dehmel
 
 


-- 
They Ask Me If I'm Happy; I say Yes.
They ask: ""How Happy are You?""
I Say: ""I'm as happy as a stow away chimpanzee on a banana boat!""","Amazon.com ""Cart"" page with JAWS & NVDA",31
44298,"Cohn, Jonathan",2018-07-27 14:18:43.577124244,"Gene,Very good points. Often I find that Web developers also expect the blind to navigate just with the tab key and enter keys. This is true in LinkedIn and some travel booking sites. Also of note, is that web accessibility documentation have had deep discussions about what a link is versus what a button is, and they don't really seem to take into consideration the visual appearance of the item in question. Except for next/previous buttons on training sites, a button is usually considered to be an item that acts on other items in the page for example  (remove, add, purchase) Sometimes Web developers will mark an item up as a link and then use a special attribute to tell the AT that it is a button. Think of those places where there was a click here button and you couldn't get it to work... this could be the reason.One final point, not all screen readers use just first letter navigation within item lists.  A search type capability could certainly be added to the panel invoked by NVDA-F7. .","Amazon.com ""Cart"" page with JAWS & NVDA",31
44303,Brian Vogel,2018-07-27 15:44:00.309504112,"On Fri, Jul 27, 2018 at 09:20 AM, Ron Canazzi wrote:
What you are saying in a nutshell is that you should always scope out unfamiliar web pages and then when you know what is going on on such pages, use your quick navigation, links lists and so on.
Indeed.Every single one of the ""lists"" features also has its place, and that place is not only after one is familiar with the page.  Going through headings lists on things like newspaper websites gets one through what is generally the list of headlines and doing the same on search pages puts one through the click-through text for the search results returned.Sometimes using the links list (which is my very least favorite thing to use) allows someone to get a quick overview of what's on the page just by arrowing through it.All of these tools are appropriately used in combination.  I am also a huge fan of the screen reader search function and, for those willing to use it, mouse tracking.  You can get a decent idea of what's on a completely unfamiliar page by gliding the mouse around and listening to what is announced that's underneath it.  Very few screen reader users who are not also former users of the mouse are willing to do this, though. -- 
Brian - Windows 10 Home, 64-Bit, Version 1803, Build 17134  
    A little kindness from person to person is better than a vast love for all humankind.
           ~ Richard Dehmel","Amazon.com ""Cart"" page with JAWS & NVDA",31
